date,exchange,reserve_btc
2023-04-14,binance,4346.8785678
2023-04-15,binance,6377.18404646
2023-04-15,okx,28183.31
2023-04-16,binance,6416.25826325
2023-04-17,binance,11043.6208614
2023-04-17,bitfinex,8252.66401255
2023-04-18,binance,11833.29586163
2023-04-18,bitfinex,-928.278081
2023-04-18,okx,27683.31
2023-04-19,binance,15484.1500514
2023-04-20,binance,87858.35359344
2023-04-21,binance,95040.9952132
2023-04-21,okx,27333.31
2023-04-22,binance,98310.00280129
2023-04-23,binance,96035.46588598
2023-04-23,bitfinex,8621.82234833
2023-04-24,binance,100899.7031002
2023-04-24,okx,26333.31
2023-04-25,binance,102842.31985517
2023-04-25,bitfinex,-4148.443364
2023-04-25,okx,26185.31
2023-04-26,binance,104255.14047189
2023-04-26,bitfinex,5851.65708199
2023-04-27,binance,-6306.21451376
2023-04-28,binance,-6967.71294528
2023-04-29,binance,-5169.40859498
2023-04-29,bitfinex,-2507.96878734
2023-04-29,okx,26536.31
2023-04-30,binance,-5774.40964607
2023-04-30,bitfinex,-2286.74995734
2023-05-01,binance,-3070.42107074
2023-05-01,bitfinex,-1579.19155734
2023-05-02,binance,106724.08240876
2023-05-02,okx,25536.31
2023-05-03,binance,-20804.12057492
2023-05-03,bitfinex,-1527.51052734
2023-05-03,okx,25338.31
2023-05-04,binance,-19375.72252382
2023-05-04,okx,26339.31
2023-05-05,binance,-27243.93837212
2023-05-05,bitfinex,-1364.25693734
2023-05-06,binance,-31673.4911653
2023-05-07,binance,43981.95947294
2023-05-07,bitfinex,-3414.262911
2023-05-07,okx,26840.31
2023-05-08,binance,31461.9439096
2023-05-08,okx,27341.31
2023-05-09,binance,27426.98255993
2023-05-10,binance,21626.95027014
2023-05-11,binance,-14778.85280365
2023-05-11,okx,27341.3
2023-05-12,binance,-11820.30189014
2023-05-12,bitfinex,6686.62200471
2023-05-12,okx,26841.3
2023-05-13,binance,-14933.35429671
2023-05-13,bitfinex,6790.09742017
2023-05-14,binance,-1141.36134183
2023-05-14,bitfinex,6897.75568563
2023-05-15,binance,-2885.55724831
2023-05-15,bitfinex,-2833.236901
2023-05-16,binance,-3338.13286958
2023-05-16,bitfinex,-2458.895401
2023-05-17,binance,-656.77274206
2023-05-17,bitfinex,-1776.570861
2023-05-17,okx,26491.3
2023-05-18,binance,1786.04312562
2023-05-18,bitfinex,-1257.336871
2023-05-19,binance,2386.62020943
2023-05-19,bitfinex,-1047.214071
2023-05-20,binance,2298.13068971
2023-05-21,binance,2796.69261725
2023-05-22,binance,3042.21468974
2023-05-22,bitfinex,-827.116561
2023-05-23,binance,3804.36761944
2023-05-23,bitfinex,-721.101301
2023-05-24,binance,4980.56203627
2023-05-25,binance,42112.18061458
2023-05-25,bitfinex,9278.99917895
2023-05-25,okx,29494.3
2023-05-26,binance,7881.56191198
2023-05-26,bitfinex,-4721.103094
2023-05-26,okx,29346.3
2023-05-27,binance,8016.51840334
2023-05-28,binance,9299.86526326
2023-05-28,bitfinex,-4525.541204
2023-05-29,binance,9031.95918529
2023-05-30,binance,6952.97325258
2023-05-31,binance,9906.00414858
2023-06-01,binance,12992.87417335
2023-06-02,binance,14222.56009656
2023-06-02,bitfinex,-4296.141654
2023-06-03,binance,17133.2732465
2023-06-03,bitfinex,-3976.924584
2023-06-04,binance,20378.08447513
2023-06-05,binance,12236.2322502
2023-06-05,bitfinex,-3612.638284
2023-06-06,binance,10050.21589474
2023-06-06,bitfinex,-3150.543344
2023-06-06,okx,29847.3
2023-06-07,binance,-2632.67159577
2023-06-07,okx,30349.3
2023-06-08,binance,-4684.26421156
2023-06-08,bitfinex,-3010.154964
2023-06-09,binance,-2288.02005707
2023-06-09,okx,29849.3
2023-06-10,binance,-6228.89235032
2023-06-11,binance,-9537.83041911
2023-06-11,bitfinex,-2903.23344854
2023-06-12,binance,-9998.34510301
2023-06-12,bitfinex,-2798.32892854
2023-06-13,binance,-10060.80323163
2023-06-14,binance,26363.79718694
2023-06-15,binance,-11912.67380377
2023-06-16,binance,-18606.43186249
2023-06-16,bitfinex,-52.41160535
2023-06-17,binance,17548.86742879
2023-06-18,binance,2131.67425856
2023-06-18,bitfinex,-2798.32872854
2023-06-19,binance,1472.44946092
2023-06-19,bitfinex,10000.10060329
2023-06-20,binance,-1402.84299126
2023-06-21,binance,-107.07991906
2023-06-21,okx,30200.3
2023-06-22,binance,-2439.79117862
2023-06-22,bitfinex,-6798.329699
2023-06-22,okx,31201.3
2023-06-23,binance,-1820.62075748
2023-06-24,binance,-1282.85316805
2023-06-24,okx,31551.3
2023-06-25,binance,1603.10265052
2023-06-26,binance,2954.48747771
2023-06-27,binance,3234.46204971
2023-06-28,binance,888.44289228
2023-06-29,binance,2691.09804125
2023-06-30,binance,5951.1826452
2023-06-30,bitfinex,-9798.329771
2023-07-01,binance,6788.04042215
2023-07-01,bitfinex,-7239.120431
2023-07-02,binance,5357.74695275
2023-07-02,bitfinex,-6134.691615
2023-07-03,binance,-879.38871836
2023-07-03,bitfinex,-5996.405245
2023-07-04,binance,4251.46605588
2023-07-05,binance,5338.01653067
2023-07-06,binance,3613.25405251
2023-07-07,binance,615.20672866
2023-07-08,binance,752.15121105
2023-07-08,bitfinex,-3946.40586943
2023-07-09,binance,-1733.83190249
2023-07-09,bitfinex,10000.10066639
2023-07-10,binance,185.65614137
2023-07-11,binance,-893.49531171
2023-07-11,okx,32052.3
2023-07-12,binance,-1450.15816717
2023-07-13,binance,-1529.19449977
2023-07-13,bitfinex,-3026.26571943
2023-07-14,binance,-2160.20186944
2023-07-14,bitfinex,-2436.11262943
2023-07-15,binance,-4378.2519322
2023-07-16,binance,-4266.05969646
2023-07-17,binance,-5445.12559511
2023-07-18,binance,-5739.9054908
2023-07-18,bitfinex,-2310.34306943
2023-07-19,binance,-5631.28089165
2023-07-19,bitfinex,-2142.26894943
2023-07-20,binance,-7800.14229593
2023-07-20,bitfinex,-1856.99757943
2023-07-21,binance,-6333.71322515
2023-07-21,bitfinex,-1503.48698443
2023-07-22,binance,-6246.63813705
2023-07-22,bitfinex,-1399.94404443
2023-07-23,binance,-7627.25179085
2023-07-23,bitfinex,-1294.14147443
2023-07-24,binance,-2902.17889598
2023-07-24,bitfinex,-3794.143714
2023-07-25,binance,-1351.90618825
2023-07-26,binance,-968.40612365
2023-07-27,binance,5642.61194448
2023-07-28,binance,7216.44083592
2023-07-29,binance,6984.65726855
2023-07-30,binance,6570.59718503
2023-07-31,binance,7761.12579804
2023-08-01,binance,10638.95129033
2023-08-01,bitfinex,-1216.814264
2023-08-02,binance,10419.28830989
